School Boundary Name,School Code,"Count of Students 
Assigned to School Boundary","Count of Students in School Boundary
 who Attend Assigned (Home) School",Percentage of Students in School Boundary who Attend Assigned (Home) School
Adams ES,CO-1420-0030,329,132,40.12%
Alameda Int'l Jr-Sr HS,CO-1420-0108,1931,821,42.52%
Arvada HS,CO-1420-0370,1470,571,38.84%
Arvada West HS,CO-1420-0378,1565,1097,70.10%
Bear Creek HS,CO-1420-0664,1960,864,44.08%
Bear Creek K-8,CO-1420-0660,480,204,42.50%
Bell MS,CO-1420-0694,1051,656,62.42%
Belmar School of Integrated Arts,CO-1420-0724,395,94,23.80%
Bergen ES,CO-1420-0779,630,355,56.35%
Blue Heron ES,CO-1420-0951,291,132,45.36%
Bradford K-8 North,CO-1420-0952,356,272,76.40%
Bradford K-8 South,CO-1420-0950,361,305,84.49%
Carmody MS,CO-1420-1318,1318,414,31.41%
Chatfield HS,CO-1420-1522,1902,1436,75.50%
Columbine Hills ES,CO-1420-1861,279,169,60.57%
Columbine HS,CO-1420-1864,1071,861,80.39%
Conifer HS,CO-1420-1886,815,658,80.74%
Coronado ES,CO-1420-1876,371,245,66.04%
Creighton MS,CO-1420-1976,778,449,57.71%
Dakota Ridge HS,CO-1420-2093,1157,742,64.13%
Deane ES,CO-1420-8090,473,181,38.27%
Deer Creek MS,CO-1420-2130,371,263,70.89%
Devinny ES,CO-1420-2194,352,263,74.72%
Drake MS,CO-1420-2288,985,696,70.66%
Dunstan MS,CO-1420-2300,876,602,68.72%
Dutch Creek ES,CO-1420-2322,317,197,62.15%
Edgewater ES,CO-1420-2496,267,142,53.18%
Eiber ES,CO-1420-2550,479,182,38.00%
Elk Creek ES,CO-1420-2616,328,191,58.23%
Evergreen HS,CO-1420-2836,906,771,85.10%
Evergreen MS,CO-1420-2832,592,424,71.62%
Everitt MS,CO-1420-2820,892,318,35.65%
Fairmount ES,CO-1420-2866,661,497,75.19%
Falcon Bluffs MS,CO-1420-2963,609,434,71.26%
Foothills ES,CO-1420-3025,590,223,37.80%
Fremont ES,CO-1420-3216,619,160,25.85%
Golden HS,CO-1420-3502,1727,1203,69.66%
Governor's Ranch ES,CO-1420-3536,270,202,74.81%
Green Gables ES,CO-1420-3622,285,125,43.86%
Green Mountain HS,CO-1420-3628,1159,733,63.24%
Hackberry Hill ES,CO-1420-3726,157,96,61.15%
Hutchinson ES,CO-1420-4190,375,153,40.80%
Jefferson Jr-Sr HS,CO-1420-4422,719,418,58.14%
Ken Caryl MS,CO-1420-4548,755,528,69.93%
Kendallvue ES,CO-1420-4549,769,263,34.20%
Kendrick Lakes ES,CO-1420-4550,346,181,52.31%
Kyffin ES,CO-1420-4830,367,279,76.02%
Lakewood HS,CO-1420-4942,1113,671,60.29%
Lasley ES,CO-1420-5004,902,374,41.46%
Lawrence ES,CO-1420-5024,896,304,33.93%
Leawood ES,CO-1420-5036,343,183,53.35%
Little ES,CO-1420-5222,492,204,41.46%
Lukas ES,CO-1420-5350,783,339,43.30%
Lumberg ES,CO-1420-5354,798,386,48.37%
Mandalay MS,CO-1420-5454,555,317,57.12%
Maple Grove ES,CO-1420-5524,322,258,80.12%
Marshdale ES,CO-1420-5580,381,264,69.29%
Meiklejohn ES,CO-1420-5758,537,385,71.69%
Mitchell ES,CO-1420-5944,546,405,74.18%
Mortensen ES,CO-1420-6133,275,144,52.36%
Mount Carbon ES,CO-1420-6135,270,161,59.63%
Normandy ES,CO-1420-6286,285,159,55.79%
North Arvada MS,CO-1420-6330,1001,364,36.36%
Oberon MS,CO-1420-6470,717,432,60.25%
Parmalee ES,CO-1420-6804,165,126,76.36%
Patterson International School,CO-1420-6808,401,150,37.41%
Peak Expeditionary School at Pennington,CO-1420-6848,120,70,58.33%
Pomona Jr-Sr HS,CO-1420-7114,1463,654,44.70%
Powderhorn ES,CO-1420-7128,779,390,50.06%
Prospect Valley ES,CO-1420-7190,619,337,54.44%
Ralston ES,CO-1420-7238,300,254,84.67%
Ralston Valley HS,CO-1420-7239,1980,1550,78.28%
Red Rocks ES,CO-1420-7282,155,118,76.13%
Rooney Ranch ES,CO-1420-7483,520,383,73.65%
Rose Stein International ES,CO-1420-7468,340,153,45.00%
Ryan ES,CO-1420-7529,570,368,64.56%
Secrest ES,CO-1420-7708,660,172,26.06%
Semper ES,CO-1420-7753,356,138,38.76%
Shaffer ES,CO-1420-7780,534,365,68.35%
Shelton ES,CO-1420-7833,537,307,57.17%
Sierra ES,CO-1420-7870,482,283,58.71%
Slater ES,CO-1420-7962,301,117,38.87%
South Lakewood ES,CO-1420-8102,394,180,45.69%
Standley Lake HS,CO-1420-8209,1313,822,62.60%
Stevens ES,CO-1420-8223,725,272,37.52%
Stober ES,CO-1420-8276,485,226,46.60%
Stony Creek ES,CO-1420-8280,406,199,49.01%
Stott ES,CO-1420-8300,283,129,45.58%
Summit Ridge MS,CO-1420-8381,775,553,71.35%
Swanson ES,CO-1420-8432,759,196,25.82%
Three Creeks K-8,CO-1420-8856,1239,929,74.98%
Ute Meadows ES,CO-1420-9008,328,255,77.74%
Van Arsdale ES,CO-1420-9052,379,262,69.13%
Vanderhoof ES,CO-1420-9058,789,318,40.30%
Warder ES,CO-1420-9232,301,163,54.15%
Wayne Carle MS,CO-1420-9299,712,359,50.42%
Weber ES,CO-1420-9328,524,152,29.01%
Welchester ES,CO-1420-9342,381,171,44.88%
West Jefferson ES,CO-1420-9424,296,129,43.58%
West Jefferson MS,CO-1420-9428,600,446,74.33%
West Woods ES,CO-1420-9429,476,396,83.19%
Westgate ES,CO-1420-9412,588,174,29.59%
Westridge ES,CO-1420-9490,222,130,58.56%
Wheat Ridge HS,CO-1420-9510,1047,593,56.64%
Wilmot ES,CO-1420-9648,371,231,62.26%
