School Code,FCI,Sqft,System,"Total Cost by School, By System",Priority1 Count,Priority2 Count,Priority3 Count,Priority4 Count,Priority1 Cost,Priority2 Cost,Priority3 Cost,Priority4 Cost
CO-1420-0108,0.021944517,206168,Exterior,"$37,148.61 ",,,2,1,,,"$28,823.61 ","$8,325.00 "
CO-1420-0108,0.021944517,206168,HVAC,"$2,817,696.28 ",,2,,,"$910,124.16 ","$1,907,572.12 ",,
CO-1420-0108,0.021944517,206168,Other,$1.75 ,1,,,,$1.75 ,,,
CO-1420-0108,0.021944517,206168,Roofing,"$84,669.53 ",,,1,,,,"$84,669.53 ",
CO-1420-0108,0.021944517,206168,Site,"$471,458.56 ",,1,3,1,,"$2,627.53 ","$437,221.94 ","$31,609.09 "
CO-1420-0108,0.021944517,206168,Specialties,"$87,448.62 ",,,,4,,,,"$87,448.62 "
CO-1420-8090,0.231442433,46117.94,Electrical,"$19,902.24 ",,,1,1,,,"$12,530.88 ","$7,371.37 "
CO-1420-8090,0.231442433,46117.94,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-8090,0.231442433,46117.94,HVAC,"$1,186,840.59 ",1,2,1,,"$166,500.00 ","$910,200.00 ","$110,140.59 ",
CO-1420-8090,0.231442433,46117.94,Interior,"$1,836,147.15 ",,,2,12,,,"$272,048.82 ","$1,564,098.32 "
CO-1420-8090,0.231442433,46117.94,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-8090,0.231442433,46117.94,Plumbing,"$66,304.37 ",,,1,6,,,"$2,465.48 ","$63,838.90 "
CO-1420-8090,0.231442433,46117.94,Roofing,"$149,357.50 ",1,1,1,,"$27,750.00 ","$2,017.13 ","$119,590.38 ",
CO-1420-8090,0.231442433,46117.94,Site,"$458,514.25 ",,1,3,5,,"$4,221.35 ","$145,417.63 ","$308,875.27 "
CO-1420-8090,0.231442433,46117.94,Specialties,"$340,923.67 ",,1,2,8,,"$2,131.34 ","$30,922.62 ","$307,869.70 "
CO-1420-8090,0.231442433,46117.94,Structure,"$174,825.00 ",,1,,1,,"$166,500.00 ",,"$8,325.00 "
CO-1420-8248,0.091932302,107786.19,Electrical,"$240,212.40 ",,,3,1,,,"$106,477.75 ","$133,734.65 "
CO-1420-8248,0.091932302,107786.19,Exterior,"$25,980.75 ",,,1,2,,,"$20,430.75 ","$5,550.00 "
CO-1420-8248,0.091932302,107786.19,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-8248,0.091932302,107786.19,HVAC,"$2,663,741.77 ",1,2,6,,"$166,500.00 ","$282,264.51 ","$2,214,977.26 ",
CO-1420-8248,0.091932302,107786.19,Interior,"$276,489.01 ",,,1,9,,,"$206,460.00 ","$70,029.01 "
CO-1420-8248,0.091932302,107786.19,Other,"$12,909.30 ",,1,1,,,"$10,134.30 ","$2,775.00 ",
CO-1420-8248,0.091932302,107786.19,Plumbing,"$88,109.85 ",,1,,5,,"$45,099.32 ",,"$43,010.52 "
CO-1420-8248,0.091932302,107786.19,Roofing,"$96,505.25 ",1,,,,"$96,505.25 ",,,
CO-1420-8248,0.091932302,107786.19,Site,"$212,148.13 ",,,2,2,,,"$188,700.00 ","$23,448.13 "
CO-1420-8248,0.091932302,107786.19,Specialties,"$195,865.16 ",,,,4,,,,"$195,865.16 "
CO-1420-8248,0.091932302,107786.19,Structure,"$33,586.92 ",,,1,,,,"$33,586.92 ",
CO-1420-5004,0.059736384,67155,Electrical,"$41,688.08 ",,,1,,,,"$41,688.08 ",
CO-1420-5004,0.059736384,67155,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-5004,0.059736384,67155,HVAC,"$653,275.23 ",1,3,,1,"$166,500.00 ","$471,750.00 ",,"$15,025.23 "
CO-1420-5004,0.059736384,67155,Interior,"$431,087.67 ",,,2,7,,,"$154,012.50 ","$277,075.17 "
CO-1420-5004,0.059736384,67155,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-5004,0.059736384,67155,Roofing,"$55,500.00 ",1,,,,"$55,500.00 ",,,
CO-1420-5004,0.059736384,67155,Site,"$187,928.02 ",,1,2,4,,"$4,221.35 ","$86,025.00 ","$97,681.67 "
CO-1420-5004,0.059736384,67155,Specialties,"$106,170.19 ",,1,,4,,"$2,131.34 ",,"$104,038.85 "
0,0.238021685,#N/A,Electrical,"$135,563.00 ",,1,4,,,"$80,135.70 ","$55,427.31 ",
0,0.238021685,#N/A,Exterior,"$5,780.28 ",,,,3,,,,"$5,780.28 "
0,0.238021685,#N/A,HVAC,"$277,586.16 ",4,,4,,"$222,006.66 ",,"$55,579.50 ",
0,0.238021685,#N/A,Interior,"$79,200.94 ",,1,,12,,"$55,500.00 ",,"$23,700.94 "
0,0.238021685,#N/A,Plumbing,"$71,121.34 ",,,,4,,,,"$71,121.34 "
0,0.238021685,#N/A,Roofing,"$152,383.76 ",4,,,,"$152,383.76 ",,,
0,0.238021685,#N/A,Site,"$243,740.73 ",1,,6,1,"$26,275.18 ",,"$147,764.28 ","$69,701.27 "
0,0.238021685,#N/A,Specialties,"$7,759.82 ",,,4,,,,"$7,759.82 ",
0,0.238021685,#N/A,Stairs and Elevators,"$29,181.63 ",,,,6,,,,"$29,181.63 "
CO-1420-6808,0.171528287,48895.37,Electrical,"$357,333.54 ",1,3,2,1,"$93,136.07 ","$181,843.56 ","$74,452.79 ","$7,901.11 "
CO-1420-6808,0.171528287,48895.37,Exterior,"$499,500.00 ",,2,,,,"$499,500.00 ",,
CO-1420-6808,0.171528287,48895.37,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-6808,0.171528287,48895.37,HVAC,"$1,566,847.94 ",,4,4,1,,"$854,700.00 ","$526,466.10 ","$185,681.84 "
