AssetID,SchoolName,SystemCategory,AssetType,InstallYear,ExpectedUsefulLife,ConditionScore,ConditionSource,Quantity,Unit,UnitCost,ReplacementCost,Criticality,OverrideEOLYear,OverrideReason,Notes
AST000001,Allendale ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000002,Allendale ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000003,Allendale ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000004,Allendale ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000005,Allendale ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000006,Allendale ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000007,Allendale ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000008,Allendale ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000009,Allendale ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000010,Allendale ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000011,Allendale ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000012,Allendale ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000013,Allendale ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000014,Adams ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000015,Adams ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000016,Adams ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000017,Adams ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000018,Adams ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000019,Adams ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000020,Adams ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000021,Adams ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000022,Adams ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000023,Adams ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000024,Adams ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000025,Adams ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000026,Adams ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000027,Arvada K-8,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000028,Arvada K-8,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000029,Arvada K-8,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000030,Arvada K-8,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000031,Arvada K-8,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000032,Arvada K-8,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000033,Arvada K-8,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000034,Arvada K-8,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000035,Arvada K-8,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000036,Arvada K-8,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000037,Arvada K-8,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000038,Arvada K-8,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000039,Arvada K-8,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000040,Bear Creek K-8,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000041,Bear Creek K-8,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000042,Bear Creek K-8,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000043,Bear Creek K-8,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000044,Bear Creek K-8,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000045,Bear Creek K-8,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000046,Bear Creek K-8,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000047,Bear Creek K-8,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000048,Bear Creek K-8,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000049,Bear Creek K-8,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000050,Bear Creek K-8,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000051,Bear Creek K-8,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000052,Bear Creek K-8,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000053,Blue Heron ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000054,Blue Heron ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000055,Blue Heron ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000056,Blue Heron ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000057,Blue Heron ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000058,Blue Heron ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000059,Blue Heron ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000060,Blue Heron ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000061,Blue Heron ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000062,Blue Heron ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000063,Blue Heron ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000064,Blue Heron ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000065,Blue Heron ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000066,Belmar School of Integrated Arts,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000067,Belmar School of Integrated Arts,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000068,Belmar School of Integrated Arts,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000069,Belmar School of Integrated Arts,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000070,Belmar School of Integrated Arts,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000071,Belmar School of Integrated Arts,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000072,Belmar School of Integrated Arts,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000073,Belmar School of Integrated Arts,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000074,Belmar School of Integrated Arts,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000075,Belmar School of Integrated Arts,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000076,Belmar School of Integrated Arts,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000077,Belmar School of Integrated Arts,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000078,Belmar School of Integrated Arts,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000079,Bergen Valley ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000080,Bergen Valley ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000081,Bergen Valley ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000082,Bergen Valley ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
