NEWJeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Notes,
101,CO-1420-0030,Adams ES,00_general,ADA compliance,,Default,EA,,,,
101,CO-1420-0030,Adams ES,00_general,Hazmat remediation,,Default,,,,,
101,CO-1420-0030,Adams ES,01_new construction,Demolition,,Default,EA,,,,
101,CO-1420-0030,Adams ES,01_new construction,New Construction ES,,Default,EA,,,,
101,CO-1420-0030,Adams ES,01_new construction,New Construction HS,,Default,EA,,,,
101,CO-1420-0030,Adams ES,01_new construction,New Construction K-8,,Default,EA,,,,
101,CO-1420-0030,Adams ES,01_new construction,New Construction MS,,Default,EA,,,,
101,CO-1420-0030,Adams ES,02_gut & renovation,Gut & Major Renovation ES,,Default,EA,,,,
101,CO-1420-0030,Adams ES,02_gut & renovation,Gut & Major Renovation HS,,Default,EA,,,,
101,CO-1420-0030,Adams ES,02_gut & renovation,Gut & Major Renovation K-8,,Default,EA,,,,
101,CO-1420-0030,Adams ES,02_gut & renovation,Gut & Major Renovation MS,,Default,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New 2-story building,,Default,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New 3-story building,,Default,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New auditorium,,Default,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New gym and locker rooms,,Default,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New multipurpose room,,Default,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New cafeteria and kitchen,,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Add shade structure(s),,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Campus landscaping upgrade,,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Expand parking,,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Exterior paint entire campus,,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,"Front of school branding, landscape upgrades",,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Furniture upgrades,,Default,,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Improve drop-off / pick-up zone,,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,New outdoor classroom,,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Playground replacement (ages 2-5),,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Playground replacement (ages 5-12),,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Resurface asphalt,,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Resurface concrete,,Default,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Upgrade artificial turf field,,Default,EA,,,,
101,CO-1420-0030,Adams ES,05_heavy modernization,Heavily modernize admin,,Default,EA,,,,
101,CO-1420-0030,Adams ES,05_heavy modernization,Heavily modernize classrooms,,0.663777778,EA,,,,
