NEWJeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Notes,
101,CO-1420-0030,Adams ES,00_general,ADA compliance,,,EA,,,,
101,CO-1420-0030,Adams ES,01_new construction,Demolition,,,EA,,,,
101,CO-1420-0030,Adams ES,01_new construction,New Construction ES,,,EA,,,,
101,CO-1420-0030,Adams ES,01_new construction,New Construction HS,,,EA,,,,
101,CO-1420-0030,Adams ES,01_new construction,New Construction K-8,,,EA,,,,
101,CO-1420-0030,Adams ES,01_new construction,New Construction MS,,,EA,,,,
101,CO-1420-0030,Adams ES,02_gut & renovation,Gut & Major Renovation ES,,,EA,,,,
101,CO-1420-0030,Adams ES,02_gut & renovation,Gut & Major Renovation HS,,,EA,,,,
101,CO-1420-0030,Adams ES,02_gut & renovation,Gut & Major Renovation K-8,,,EA,,,,
101,CO-1420-0030,Adams ES,02_gut & renovation,Gut & Major Renovation MS,,,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New 2-story building,,,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New 3-story building,,,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New auditorium,,,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New gym and locker rooms,,,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New multipurpose room,,,EA,,,,
101,CO-1420-0030,Adams ES,03_addition,New cafeteria and kitchen,,,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Add shade structure(s),,1,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Campus landscaping upgrade,,,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Expand parking,,,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,"Front of school branding, landscape upgrades",,0.9,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Furniture upgrades,,0.225,,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Improve drop-off / pick-up zone,,0.541666667,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,New outdoor classroom,,1,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Playground replacement (ages 2-5),,0.75,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Playground replacement (ages 5-12),,0.75,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Resurface asphalt,,,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Resurface concrete,,,EA,,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Upgrade artificial turf field,,,EA,,,,
101,CO-1420-0030,Adams ES,modernization,Modernize admin,,0.933333333,EA,,,,
101,CO-1420-0030,Adams ES,modernization,Modernize classrooms,,0.663777778,EA,,,,
101,CO-1420-0030,Adams ES,modernization,Modernize gym / assembly space,,0.505087209,EA,,,,
101,CO-1420-0030,Adams ES,modernization,Modernize kitchen,,,EA,,,,
101,CO-1420-0030,Adams ES,modernization,Modernize cafeteria,,0.411337209,EA,,,,
101,CO-1420-0030,Adams ES,modernization,Modernize multipurpose room,,Does not apply,EA,,,,
101,CO-1420-0030,Adams ES,modernization,Heavily modernize restrooms,,0.666666667,EA,,,,
101,CO-1420-0030,Adams ES,modernization,Heavily modernize STEM / CTE / specialized labs (MS/HS),,Does not apply,,,,,
101,CO-1420-0030,Adams ES,modernization,Lightly modernize corridors,,1,EA,,,,
101,CO-1420-0030,Adams ES,modernization,Lightly modernize entry lobby,,0.658333333,EA,,,,
101,CO-1420-0030,Adams ES,modernization,Lightly modernize library/media center,,,EA,,,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Electrical,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Electrical,2,Deficiency Data Oct 25,,,247258.55,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Electrical,3,Deficiency Data Oct 25,,,200246.4,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Electrical,4,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Exterior,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Exterior,2,Deficiency Data Oct 25,,,34725.47,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Exterior,3,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Exterior,4,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Fire and Life Safety,1,Deficiency Data Oct 25,,,2686.95,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Fire and Life Safety,2,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Fire and Life Safety,3,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Fire and Life Safety,4,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Interior,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Interior,2,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Interior,3,Deficiency Data Oct 25,,,455100,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Interior,4,Deficiency Data Oct 25,,,106914.32,,
101,CO-1420-0030,Adams ES,08_site infrastructure,HVAC,1,Deficiency Data Oct 25,,,166500,,
101,CO-1420-0030,Adams ES,08_site infrastructure,HVAC,2,Deficiency Data Oct 25,,,520728.1,,
101,CO-1420-0030,Adams ES,08_site infrastructure,HVAC,3,Deficiency Data Oct 25,,,169042.92,,
101,CO-1420-0030,Adams ES,08_site infrastructure,HVAC,4,Deficiency Data Oct 25,,,49559.11,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Other,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Other,2,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Other,3,Deficiency Data Oct 25,,,2775,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Other,4,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Plumbing,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Plumbing,2,Deficiency Data Oct 25,,,22549.66,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Plumbing,3,Deficiency Data Oct 25,,,14021.66,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Plumbing,4,Deficiency Data Oct 25,,,66235,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Roofing,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Roofing,2,Deficiency Data Oct 25,,,1984.74,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Roofing,3,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Roofing,4,Deficiency Data Oct 25,,,None,,
