OBJECTID,Attend School Code,Attend School Name,Attendance Articulation Area,Grade,Choice,Longitude,Latitude
1,CO-1420-8280,Stony Creek Elementary,Chatfield,04,Choice,-104.810921,39.37957462
2,CO-1420-8280,Stony Creek Elementary,Chatfield,01,Choice,-104.810921,39.37957462
3,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.2725714,39.38455165
4,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.2725714,39.38455165
5,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.2633329,39.38344465
6,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.2751049,39.39173365
7,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Home School,-105.2751049,39.39173365
8,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4575168,39.39220768
9,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4816368,39.40595366
10,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4800068,39.40513865
11,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4206303,39.40599866
12,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3141334,39.40704265
13,CO-1420-2616,Elk Creek Elementary,Conifer,04,Home School,-105.3141334,39.40704265
14,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3144129,39.40727166
15,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4002093,39.41077766
16,CO-1420-9428,West Jefferson Middle,Conifer,06,Choice,-105.4002093,39.41077766
17,CO-1420-9432,Dennison Elementary,Option,05,Choice,-105.3840948,39.41117365
18,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Home School,-105.3372274,39.41180365
19,CO-1420-2616,Elk Creek Elementary,Conifer,04,Choice,-105.5132853,39.41312666
20,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.5132853,39.41312666
21,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4681578,39.41292665
22,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4551228,39.41636964
23,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.4486743,39.41329766
24,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4501233,39.41435966
25,CO-1420-2616,Elk Creek Elementary,Conifer,04,Choice,-105.4463838,39.41367566
26,CO-1420-2616,Elk Creek Elementary,Conifer,02,Choice,-105.4463838,39.41367566
27,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.4319639,39.41531067
28,CO-1420-1886,Conifer High,Conifer,11,Choice,-105.4287528,39.41307266
29,CO-1420-2616,Elk Creek Elementary,Conifer,04,Choice,-105.4287528,39.41307266
30,CO-1420-2836,Evergreen High,Evergreen,11,Choice,-105.4218318,39.41550266
31,CO-1420-1886,Conifer High,Conifer,11,Choice,-105.4251629,39.41555064
32,CO-1420-2836,Evergreen High,Evergreen,12,Choice,-105.4230319,39.41600465
33,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4218498,39.41306366
34,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4218498,39.41306366
35,CO-1420-2616,Elk Creek Elementary,Conifer,02,Choice,-105.4176558,39.41352266
36,CO-1420-9428,West Jefferson Middle,Conifer,08,Choice,-105.4159053,39.41613265
37,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.3347524,39.41282065
38,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.5407498,39.41785065
39,CO-1420-378,Arvada West High,Arvada West,12,Choice,-105.4530348,39.41868866
40,CO-1420-2616,Elk Creek Elementary,Conifer,05,Choice,-105.4481613,39.41874266
41,CO-1420-9428,West Jefferson Middle,Conifer,08,Choice,-105.4227903,39.41741965
42,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4227903,39.41741965
43,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4145629,39.42013165
44,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4145629,39.42013165
45,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4590648,39.42018266
46,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.4590648,39.42018266
47,CO-1420-9428,West Jefferson Middle,Conifer,08,Choice,-105.4321188,39.42344066
48,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4321188,39.42344066
49,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4321188,39.42344066
50,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4315298,39.42249865
51,CO-1420-2616,Elk Creek Elementary,Conifer,02,Choice,-105.4273173,39.42136166
52,CO-1420-2616,Elk Creek Elementary,Conifer,02,Choice,-105.4273173,39.42136166
53,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4248693,39.42248665
54,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4248693,39.42248665
55,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4248693,39.42248665
56,CO-1420-664,Bear Creek High,Bear Creek,11,Choice,-105.4243383,39.42320665
57,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4211039,39.42198266
58,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4169059,39.42061863
59,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4800748,39.42407265
60,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4505238,39.42221666
61,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4482738,39.42622166
62,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4273308,39.42206366
63,CO-1420-9424,West Jefferson Elementary,Conifer,PK,Choice,-105.4198808,39.42439565
64,CO-1420-9424,West Jefferson Elementary,Conifer,04,Choice,-105.4198808,39.42439565
65,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4198808,39.42439565
66,CO-1420-9424,West Jefferson Elementary,Conifer,05,Choice,-105.4035348,39.42215365
