Project,Project Type,Unit of Measure,Unit Measure Normalized,Direct Unit Cost $ Range (Low),Direct Unit Cost $ Range (High),Direct Unit Cost $ (Upgrade),Unit Cost ($) w ACF & Hard Costs (Low),Unit Cost ($) w ACF & Hard Costs (High),Unit Cost ($) w ACF & Hard Costs (Upgrade),Scope Assumption,Upgrade Scope Assumption,Size Assumptions,Quantity,Unit Cost ($) w ACF & Hard Costs,Soft Costs,Escalation,Total Project Cost
ADA compliance,00_general,Percentage,Percentage,2%,3%,,,,,Allowance for ADA compliance modifications across various project elements.,,,,$0.03 ,$0.01 ,$0.00 ,$0.03 
Hazmat remediation,00_general,Per square foot,SF,No Idea How Much This Would Cost,,,,,,"Includes hazardous material removal, disposal, and site restoration.",,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Demolition,01_new construction,Per square foot,SF,$9.50 ,$10.50 ,,,,,"Includes demolition, site clearance, and disposal of building materials.","Includes demolition, site clearance, and disposal of building materials.","50,000 SF",,$10.73 ,$2.57 ,$0.00 ,$13.30 
New Construction ES,01_new construction,Per square foot,SF,$480.00 ,$528.00 ,,,,,Includes construction of a new school building with all necessary utilities and finishes.,Includes construction of a new school building with all necessary utilities and finishes.,"80,700 SF",,$540.72 ,$129.77 ,$0.00 ,$670.49 
New Construction HS,01_new construction,Per square foot,SF,$555.00 ,$610.50 ,,,,,Includes construction of a new school building with all necessary utilities and finishes.,Includes construction of a new school building with all necessary utilities and finishes.,"250,000 SF",,$625.21 ,$150.05 ,$0.00 ,$775.26 
New Construction K-8,01_new construction,Per square foot,SF,$507.00 ,$557.70 ,,,,,Includes construction of a new school building with all necessary utilities and finishes.,Includes construction of a new school building with all necessary utilities and finishes.,"90,000 SF",,$571.14 ,$137.07 ,$0.00 ,$708.21 
New Construction MS,01_new construction,Per square foot,SF,$482.00 ,$530.20 ,,,,,Includes construction of a new school building with all necessary utilities and finishes.,Includes construction of a new school building with all necessary utilities and finishes.,"150,000 SF",,$542.97 ,$130.31 ,$0.00 ,$673.29 
Gut & Major Renovation ES,02_gut & renovation,Per square foot,SF,$332.50 ,$367.50 ,,,,,"Includes comprehensive interior and systems modernization, addressing architectural, MEP, ADA, and building code upgrades.","Includes comprehensive interior and systems modernization, addressing architectural, MEP, ADA, and building code upgrades.",,,$375.51 ,$90.12 ,$0.00 ,$465.63 
Gut & Major Renovation HS,02_gut & renovation,Per square foot,SF,$332.50 ,$367.50 ,,,,,"Includes comprehensive interior and systems modernization, addressing architectural, MEP, ADA, and building code upgrades.","Includes comprehensive interior and systems modernization, addressing architectural, MEP, ADA, and building code upgrades.",,,$375.51 ,$90.12 ,$0.00 ,$465.63 
Gut & Major Renovation K-8,02_gut & renovation,Per square foot,SF,$332.50 ,$367.50 ,,,,,"Includes comprehensive interior and systems modernization, addressing architectural, MEP, ADA, and building code upgrades.","Includes comprehensive interior and systems modernization, addressing architectural, MEP, ADA, and building code upgrades.",,,$375.51 ,$90.12 ,$0.00 ,$465.63 
